"","X","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","fec.flower","N_pods","seedling","per.leaves.dam","herb_avg"
"3041",3838,2015,"BLD1",40,"4017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3042",3839,2015,"BLD1",40,"66",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3043",3840,2015,"BLD1",40,"55",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3044",3841,2015,"BLD1",40,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3045",3842,2015,"BLD1",40,"4016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3046",3843,2015,"BLD1",40,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3047",3844,2015,"BLD1",40,"4015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3048",3845,2015,"BLD1",40,"4019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3049",3846,2015,"BLD1",40,"2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3050",3847,2015,"BLD1",40,"68",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3051",3848,2015,"BLD1",40,"69",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3052",3849,2015,"BLD1",40,"79",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3053",3850,2015,"BLD1",40,"89",NA,115.7,NA,NA,0,0,NA,NA,NA
"3054",3851,2015,"BLD1",40,"84",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3055",3852,2015,"BLD1",40,"4028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3056",3853,2015,"BLD1",40,"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3057",3854,2015,"BLD1",40,"4030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3058",3855,2015,"BLD1",40,"99",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3059",3856,2015,"BLD1",40,"314",NA,93.7,NA,NA,1,1,NA,NA,NA
"3060",3857,2015,"BLD1",40,"4034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3061",3858,2015,"BLD1",40,"101",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3062",3859,2015,"BLD1",40,"2079",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3063",3860,2015,"BLD1",40,"4033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3064",3861,2015,"BLD1",40,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3065",3862,2015,"BLD1",40,"2056",NA,84.2,NA,NA,1,0,NA,NA,NA
"3066",3863,2015,"BLD1",40,"2080",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3067",3864,2015,"BLD1",40,"4051",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3068",3865,2015,"BLD1",40,"119",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3069",3866,2015,"BLD1",40,"4953",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3070",3867,2015,"BLD1",40,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3071",3868,2015,"BLD1",40,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3072",3869,2015,"BLD1",40,"131",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3073",3870,2015,"BLD1",40,"132",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3074",3871,2015,"BLD1",40,"135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3075",3872,2015,"BLD1",40,"133",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3076",3873,2015,"BLD1",40,"138",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3077",3874,2015,"BLD1",40,"137",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3078",3875,2015,"BLD1",43,"189",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3079",3876,2015,"BLD1",43,"384",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3080",3877,2015,"BLD1",43,"4315",NA,104,NA,NA,1,0,NA,NA,NA
"3081",3878,2015,"BLD1",43,"411",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3082",3879,2015,"BLD1",43,"410",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3083",3880,2015,"BLD1",43,"4364",NA,138.4,NA,NA,1,0,NA,NA,NA
"3084",3881,2015,"BLD1",43,"409",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3085",3882,2015,"BLD1",43,"4317",NA,84.9,NA,NA,0,0,NA,NA,NA
"3086",3883,2015,"BLD1",43,"4319",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3087",3884,2015,"BLD1",43,"405",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088",3885,2015,"BLD1",43,"406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3089",3886,2015,"BLD1",43,"4353",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3090",3887,2015,"BLD1",43,"4354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3091",3888,2015,"BLD1",43,"393",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3092",3889,2015,"BLD1",43,"4335",NA,102.5,NA,NA,1,0,NA,NA,NA
"3093",3890,2015,"BLD1",43,"4351",NA,112.3,NA,NA,1,0,NA,NA,NA
"3094",3891,2015,"BLD1",43,"4341",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3095",3892,2015,"BLD1",43,"4347",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3096",3893,2015,"BLD1",43,"4349",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3097",3894,2015,"BLD1",43,"4339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3098",3895,2015,"BLD1",43,"4342",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3099",3896,2015,"BLD1",43,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3100",3897,2015,"BLD1",43,"4343",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3101",3898,2015,"BLD1",43,"396",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3102",3899,2015,"BLD1",43,"399",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3103",3900,2015,"BLD1",42,"209",NA,123,NA,NA,0,0,NA,NA,NA
"3104",3901,2015,"BLD1",42,"456",NA,111.9,NA,NA,0,0,NA,NA,NA
"3105",3902,2015,"BLD1",42,"new1",NA,21.9,NA,NA,0,0,NA,NA,NA
"3106",3903,2015,"BLD1",42,"218",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3107",3904,2015,"BLD1",42,"217",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3108",3905,2015,"BLD1",42,"507",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3109",3906,2015,"BLD1",42,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3110",3907,2015,"BLD1",42,"1506",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3111",3908,2015,"BLD1",42,"221",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3112",3909,2015,"BLD1",42,"219",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3113",3910,2015,"BLD1",42,"1510",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3114",3911,2015,"BLD1",42,"1515",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3115",3912,2015,"BLD1",42,"4103",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3116",3913,2015,"BLD1",42,"222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3117",3914,2015,"BLD1",42,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3118",3915,2015,"BLD1",42,"4105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3119",3916,2015,"BLD1",42,"1518",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3120",3917,2015,"BLD1",42,"1517",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3121",3918,2015,"BLD1",42,"1521",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3122",3919,2015,"BLD1",42,"358",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3123",3920,2015,"BLD1",42,"230",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3124",3921,2015,"BLD1",42,"1530",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3125",3922,2015,"BLD1",42,"1526",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3126",3923,2015,"BLD1",42,"1527",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3127",3924,2015,"BLD1",42,"1528",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3128",3925,2015,"BLD1",42,"231",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3129",3926,2015,"BLD1",42,"1536",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3130",3927,2015,"BLD1",42,"4111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3131",3928,2015,"BLD1",42,"1540",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3132",3929,2015,"BLD1",42,"239",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3133",3930,2015,"BLD1",42,"1541",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3134",3931,2015,"BLD1",42,"361",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3135",3932,2015,"BLD1",42,"362",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3136",3933,2015,"BLD1",42,"4142",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3137",3934,2015,"BLD1",42,"2008",NA,94.3,NA,NA,0,0,NA,NA,NA
"3138",3935,2015,"BLD1",42,"1546",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3139",3936,2015,"BLD1",42,"1549",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3140",3937,2015,"BLD1",42,"1568",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3141",3938,2015,"BLD1",42,"1547",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3142",3939,2015,"BLD1",42,"1548",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3143",3940,2015,"BLD1",42,"1554",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3144",3941,2015,"BLD1",42,"1558",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3145",3942,2015,"BLD1",42,"1559",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3146",3943,2015,"BLD1",42,"4125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3147",3944,2015,"BLD1",42,"1560",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3148",3945,2015,"BLD1",42,"4127",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3149",3946,2015,"BLD1",42,"4143",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3150",3947,2015,"BLD1",42,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3151",3948,2015,"BLD1",42,"1539",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3152",3949,2015,"BLD1",42,"1538",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3153",3950,2015,"BLD1",42,"1537",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3154",3951,2015,"BLD1",42,"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3155",3952,2015,"BLD1",42,"1555",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3156",3953,2015,"BLD1",42,"245",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3157",3954,2015,"BLD1",42,"1543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3158",3955,2015,"BLD1",42,"unknown2",NA,120.1,NA,NA,0,0,NA,NA,NA
"3159",3956,2015,"BLD1",42,"1570",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3160",3957,2015,"BLD1",42,"1569",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3161",3958,2015,"BLD1",42,"4222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3162",3959,2015,"BLD1",42,"1580",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3163",3960,2015,"BLD1",42,"1583",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3164",3961,2015,"BLD1",42,"1585",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3165",3962,2015,"BLD1",42,"250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3166",3963,2015,"BLD1",42,"1577",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3167",3964,2015,"BLD1",42,"1575",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3168",3965,2015,"BLD1",42,"1576",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3169",3966,2015,"BLD1",42,"249",NA,NA,NA,NA,NA,NA,NA,NA,NA
